store_id,store_name,address,phone
1,Secretx at East Colonial,"104 Jeffrey Street, Sarasota, FL 32423",(819) 600-1338
2,Secretx at Baldwin Park,"083 Robinson Radial, Alafaya, FL 33143",(026) 542-3511
3,Secretx at East Colonial,"1559 Roman Stream, Melbourne, FL 33885",(816) 184-9593
4,Secretx at Lake Nona,"103 Galloway Walk, Tampa, FL 32957",(164) 752-5534
5,Secretx at The Villages,"192 Frank Light, West Palm Beach, FL 33109",(835) 030-5641
6,Secretx at Waterford Lakes,"95376 Thomas Dam, Melbourne, FL 33014",(884) 969-6532
7,Secretx at Baldwin Park Shopping Center,"710 Eric Estate, Sarasota, FL 34791",(691) 669-7848
8,Secretx at Waterford Lakes,"18451 Graham Motorway, Melbourne, FL 32017",(482) 814-8932
9,Secretx at Conway Crossing Shopping Center,"2880 Burns Creek, Alafaya, FL 33490",(430) 391-1718
10,Secretx at The Villages Shopping Center,"27824 Brandt Plains, Winter Park, FL 34993",(346) 578-7133
